model,decoding_method,beam_size,problem_id,input_tokens,output_tokens,total_tokens,score,source_file,row_index
Llama,origin,1,1_1000#13,101,254,355,0,LLAMA3/origin/MATH500/1_1000.jsonl,13
Llama,origin,1,1_1000#14,204,158,362,1,LLAMA3/origin/MATH500/1_1000.jsonl,14
Llama,origin,1,1_1000#15,144,333,477,0,LLAMA3/origin/MATH500/1_1000.jsonl,15
Llama,origin,1,1_1000#16,211,563,774,0,LLAMA3/origin/MATH500/1_1000.jsonl,16
Llama,origin,1,1_1000#17,54,79,133,1,LLAMA3/origin/MATH500/1_1000.jsonl,17
Llama,origin,1,1_1000#18,240,1000,1240,0,LLAMA3/origin/MATH500/1_1000.jsonl,18
Llama,origin,1,1_1000#19,179,1000,1179,0,LLAMA3/origin/MATH500/1_1000.jsonl,19
Llama,origin,1,1_1000#20,81,1000,1081,0,LLAMA3/origin/MATH500/1_1000.jsonl,20
Llama,origin,1,1_1000#21,46,127,173,0,LLAMA3/origin/MATH500/1_1000.jsonl,21
Llama,origin,1,1_1000#22,62,1000,1062,0,LLAMA3/origin/MATH500/1_1000.jsonl,22
Llama,origin,1,1_1000#23,158,1000,1158,0,LLAMA3/origin/MATH500/1_1000.jsonl,23
Llama,origin,1,1_1000#24,61,450,511,0,LLAMA3/origin/MATH500/1_1000.jsonl,24
Llama,origin,1,1_1000#25,130,187,317,0,LLAMA3/origin/MATH500/1_1000.jsonl,25
Llama,origin,1,1_1000#26,112,649,761,0,LLAMA3/origin/MATH500/1_1000.jsonl,26
Llama,origin,1,1_1000#27,85,273,358,0,LLAMA3/origin/MATH500/1_1000.jsonl,27
Llama,origin,1,1_1000#28,110,207,317,1,LLAMA3/origin/MATH500/1_1000.jsonl,28
Llama,origin,1,1_1000#29,67,107,174,0,LLAMA3/origin/MATH500/1_1000.jsonl,29
Llama,origin,1,1_1000#30,110,539,649,0,LLAMA3/origin/MATH500/1_1000.jsonl,30
Llama,origin,1,1_1000#31,57,1000,1057,0,LLAMA3/origin/MATH500/1_1000.jsonl,31
Llama,origin,1,1_1000#32,41,160,201,0,LLAMA3/origin/MATH500/1_1000.jsonl,32
Llama,origin,1,1_1000#33,84,227,311,0,LLAMA3/origin/MATH500/1_1000.jsonl,33
Llama,origin,1,1_1000#34,78,1000,1078,0,LLAMA3/origin/MATH500/1_1000.jsonl,34
Llama,origin,1,1_1000#35,66,612,678,1,LLAMA3/origin/MATH500/1_1000.jsonl,35
Llama,origin,1,1_1000#36,74,323,397,1,LLAMA3/origin/MATH500/1_1000.jsonl,36
Llama,origin,1,1_1000#37,62,660,722,0,LLAMA3/origin/MATH500/1_1000.jsonl,37
Llama,origin,1,1_1000#38,67,1000,1067,0,LLAMA3/origin/MATH500/1_1000.jsonl,38
Llama,origin,1,1_1000#39,74,125,199,0,LLAMA3/origin/MATH500/1_1000.jsonl,39
Llama,origin,1,1_1000#40,55,252,307,0,LLAMA3/origin/MATH500/1_1000.jsonl,40
Llama,origin,1,1_1000#41,130,392,522,0,LLAMA3/origin/MATH500/1_1000.jsonl,41
Llama,origin,1,1_1000#42,83,262,345,0,LLAMA3/origin/MATH500/1_1000.jsonl,42
Llama,origin,1,1_1000#43,73,85,158,1,LLAMA3/origin/MATH500/1_1000.jsonl,43
Llama,origin,1,1_1000#44,107,612,719,0,LLAMA3/origin/MATH500/1_1000.jsonl,44
Llama,origin,1,1_1000#45,97,205,302,0,LLAMA3/origin/MATH500/1_1000.jsonl,45
Llama,origin,1,1_1000#46,69,62,131,1,LLAMA3/origin/MATH500/1_1000.jsonl,46
Llama,origin,1,1_1000#47,77,363,440,0,LLAMA3/origin/MATH500/1_1000.jsonl,47
Llama,origin,1,1_1000#48,84,161,245,1,LLAMA3/origin/MATH500/1_1000.jsonl,48
Llama,origin,1,1_1000#49,52,240,292,1,LLAMA3/origin/MATH500/1_1000.jsonl,49
Llama,origin,1,1_1000#50,58,219,277,1,LLAMA3/origin/MATH500/1_1000.jsonl,50
Llama,origin,1,1_1000#51,129,1000,1129,0,LLAMA3/origin/MATH500/1_1000.jsonl,51
Llama,origin,1,1_1000#52,55,902,957,1,LLAMA3/origin/MATH500/1_1000.jsonl,52
Llama,origin,1,1_1000#53,63,112,175,1,LLAMA3/origin/MATH500/1_1000.jsonl,53
Llama,origin,1,1_1000#54,60,75,135,1,LLAMA3/origin/MATH500/1_1000.jsonl,54
Llama,origin,1,1_1000#55,45,75,120,1,LLAMA3/origin/MATH500/1_1000.jsonl,55
Llama,origin,1,1_1000#56,83,123,206,0,LLAMA3/origin/MATH500/1_1000.jsonl,56
Llama,origin,1,1_1000#57,57,125,182,1,LLAMA3/origin/MATH500/1_1000.jsonl,57
Llama,origin,1,1_1000#58,87,560,647,0,LLAMA3/origin/MATH500/1_1000.jsonl,58
Llama,origin,1,1_1000#59,47,162,209,0,LLAMA3/origin/MATH500/1_1000.jsonl,59
Llama,origin,1,1_1000#60,79,216,295,0,LLAMA3/origin/MATH500/1_1000.jsonl,60
Llama,origin,1,1_1000#61,83,591,674,0,LLAMA3/origin/MATH500/1_1000.jsonl,61
Llama,origin,1,1_1000#62,102,562,664,1,LLAMA3/origin/MATH500/1_1000.jsonl,62
Llama,origin,1,1_1000#63,139,553,692,0,LLAMA3/origin/MATH500/1_1000.jsonl,63
Llama,origin,1,1_1000#64,122,449,571,0,LLAMA3/origin/MATH500/1_1000.jsonl,64
Llama,origin,1,1_1000#65,99,895,994,0,LLAMA3/origin/MATH500/1_1000.jsonl,65
Llama,origin,1,1_1000#66,47,136,183,1,LLAMA3/origin/MATH500/1_1000.jsonl,66
Llama,origin,1,1_1000#67,71,242,313,1,LLAMA3/origin/MATH500/1_1000.jsonl,67
Llama,origin,1,1_1000#68,81,180,261,0,LLAMA3/origin/MATH500/1_1000.jsonl,68
Llama,origin,1,1_1000#69,94,1000,1094,0,LLAMA3/origin/MATH500/1_1000.jsonl,69
Llama,origin,1,1_1000#70,89,1000,1089,0,LLAMA3/origin/MATH500/1_1000.jsonl,70
Llama,origin,1,1_1000#71,53,142,195,1,LLAMA3/origin/MATH500/1_1000.jsonl,71
Llama,origin,1,1_1000#72,53,194,247,0,LLAMA3/origin/MATH500/1_1000.jsonl,72
Llama,origin,1,1_1000#73,67,226,293,1,LLAMA3/origin/MATH500/1_1000.jsonl,73
Llama,origin,1,1_1000#74,104,317,421,1,LLAMA3/origin/MATH500/1_1000.jsonl,74
Llama,origin,1,1_1000#75,60,215,275,0,LLAMA3/origin/MATH500/1_1000.jsonl,75
Llama,origin,1,1_1000#76,71,295,366,0,LLAMA3/origin/MATH500/1_1000.jsonl,76
Llama,origin,1,1_1000#77,73,148,221,1,LLAMA3/origin/MATH500/1_1000.jsonl,77
Llama,origin,1,1_1000#78,52,111,163,1,LLAMA3/origin/MATH500/1_1000.jsonl,78
Llama,origin,1,1_1000#79,102,506,608,0,LLAMA3/origin/MATH500/1_1000.jsonl,79
Llama,origin,1,1_1000#80,54,83,137,0,LLAMA3/origin/MATH500/1_1000.jsonl,80
Llama,origin,1,1_1000#81,75,239,314,1,LLAMA3/origin/MATH500/1_1000.jsonl,81
Llama,origin,1,1_1000#82,82,440,522,0,LLAMA3/origin/MATH500/1_1000.jsonl,82
Llama,origin,1,1_1000#83,120,431,551,0,LLAMA3/origin/MATH500/1_1000.jsonl,83
Llama,origin,1,1_1000#84,55,753,808,0,LLAMA3/origin/MATH500/1_1000.jsonl,84
Llama,origin,1,1_1000#85,86,340,426,1,LLAMA3/origin/MATH500/1_1000.jsonl,85
Llama,origin,1,1_1000#86,93,295,388,1,LLAMA3/origin/MATH500/1_1000.jsonl,86
Llama,origin,1,1_1000#87,71,115,186,0,LLAMA3/origin/MATH500/1_1000.jsonl,87
Llama,origin,1,1_1000#88,57,190,247,1,LLAMA3/origin/MATH500/1_1000.jsonl,88
Llama,origin,1,1_1000#89,120,525,645,0,LLAMA3/origin/MATH500/1_1000.jsonl,89
Llama,origin,1,1_1000#90,53,207,260,0,LLAMA3/origin/MATH500/1_1000.jsonl,90
Llama,origin,1,1_1000#91,74,87,161,0,LLAMA3/origin/MATH500/1_1000.jsonl,91
Llama,origin,1,1_1000#92,76,229,305,0,LLAMA3/origin/MATH500/1_1000.jsonl,92
Llama,origin,1,1_1000#93,73,174,247,1,LLAMA3/origin/MATH500/1_1000.jsonl,93
Llama,origin,1,1_1000#94,75,418,493,1,LLAMA3/origin/MATH500/1_1000.jsonl,94
Llama,origin,1,1_1000#95,375,270,645,0,LLAMA3/origin/MATH500/1_1000.jsonl,95
Llama,origin,1,1_1000#96,113,210,323,0,LLAMA3/origin/MATH500/1_1000.jsonl,96
Llama,origin,1,1_1000#97,137,535,672,0,LLAMA3/origin/MATH500/1_1000.jsonl,97
Llama,origin,1,1_1000#98,76,407,483,0,LLAMA3/origin/MATH500/1_1000.jsonl,98
Llama,origin,1,1_1000#99,51,147,198,0,LLAMA3/origin/MATH500/1_1000.jsonl,99
Llama,origin,1,1_1000#100,130,1000,1130,0,LLAMA3/origin/MATH500/1_1000.jsonl,100
Llama,origin,3,3_1000#1,81,308,389,0,LLAMA3/origin/MATH500/3_1000.jsonl,1
Llama,origin,3,3_1000#2,144,1000,1144,0,LLAMA3/origin/MATH500/3_1000.jsonl,2
Llama,origin,3,3_1000#3,80,449,529,1,LLAMA3/origin/MATH500/3_1000.jsonl,3
Llama,origin,3,3_1000#4,45,115,160,0,LLAMA3/origin/MATH500/3_1000.jsonl,4
Llama,origin,3,3_1000#5,360,404,764,0,LLAMA3/origin/MATH500/3_1000.jsonl,5
Llama,origin,3,3_1000#6,73,107,180,0,LLAMA3/origin/MATH500/3_1000.jsonl,6
Llama,origin,3,3_1000#7,52,783,835,0,LLAMA3/origin/MATH500/3_1000.jsonl,7
Llama,origin,3,3_1000#8,99,892,991,0,LLAMA3/origin/MATH500/3_1000.jsonl,8
Llama,origin,3,3_1000#9,67,198,265,0,LLAMA3/origin/MATH500/3_1000.jsonl,9
Llama,origin,3,3_1000#10,174,1000,1174,0,LLAMA3/origin/MATH500/3_1000.jsonl,10
Llama,origin,3,3_1000#11,57,334,391,0,LLAMA3/origin/MATH500/3_1000.jsonl,11
Llama,origin,3,3_1000#12,92,694,786,0,LLAMA3/origin/MATH500/3_1000.jsonl,12
Llama,origin,3,3_1000#13,101,239,340,1,LLAMA3/origin/MATH500/3_1000.jsonl,13
Llama,origin,3,3_1000#14,204,203,407,1,LLAMA3/origin/MATH500/3_1000.jsonl,14
Llama,origin,3,3_1000#15,144,270,414,0,LLAMA3/origin/MATH500/3_1000.jsonl,15
Llama,origin,3,3_1000#16,211,1000,1211,0,LLAMA3/origin/MATH500/3_1000.jsonl,16
Llama,origin,3,3_1000#17,54,83,137,1,LLAMA3/origin/MATH500/3_1000.jsonl,17
Llama,origin,3,3_1000#18,240,1000,1240,0,LLAMA3/origin/MATH500/3_1000.jsonl,18
Llama,origin,3,3_1000#19,179,420,599,0,LLAMA3/origin/MATH500/3_1000.jsonl,19
Llama,origin,3,3_1000#20,81,790,871,0,LLAMA3/origin/MATH500/3_1000.jsonl,20
Llama,origin,3,3_1000#21,46,124,170,1,LLAMA3/origin/MATH500/3_1000.jsonl,21
Llama,origin,3,3_1000#22,62,818,880,0,LLAMA3/origin/MATH500/3_1000.jsonl,22
Llama,origin,3,3_1000#23,158,554,712,0,LLAMA3/origin/MATH500/3_1000.jsonl,23
Llama,origin,3,3_1000#24,61,482,543,0,LLAMA3/origin/MATH500/3_1000.jsonl,24
Llama,origin,3,3_1000#25,130,408,538,1,LLAMA3/origin/MATH500/3_1000.jsonl,25
Llama,origin,3,3_1000#26,112,634,746,0,LLAMA3/origin/MATH500/3_1000.jsonl,26
Llama,origin,3,3_1000#27,85,423,508,0,LLAMA3/origin/MATH500/3_1000.jsonl,27
Llama,origin,3,3_1000#28,110,244,354,0,LLAMA3/origin/MATH500/3_1000.jsonl,28
Llama,origin,3,3_1000#29,67,116,183,1,LLAMA3/origin/MATH500/3_1000.jsonl,29
Llama,origin,3,3_1000#30,110,239,349,0,LLAMA3/origin/MATH500/3_1000.jsonl,30
Llama,origin,3,3_1000#31,57,127,184,1,LLAMA3/origin/MATH500/3_1000.jsonl,31
Llama,origin,3,3_1000#32,41,157,198,0,LLAMA3/origin/MATH500/3_1000.jsonl,32
Llama,origin,3,3_1000#33,84,207,291,0,LLAMA3/origin/MATH500/3_1000.jsonl,33
Llama,origin,3,3_1000#34,78,407,485,0,LLAMA3/origin/MATH500/3_1000.jsonl,34
Llama,origin,3,3_1000#35,66,696,762,1,LLAMA3/origin/MATH500/3_1000.jsonl,35
Llama,origin,3,3_1000#36,74,320,394,1,LLAMA3/origin/MATH500/3_1000.jsonl,36
Llama,origin,3,3_1000#37,62,852,914,0,LLAMA3/origin/MATH500/3_1000.jsonl,37
Llama,origin,3,3_1000#38,67,235,302,0,LLAMA3/origin/MATH500/3_1000.jsonl,38
Llama,origin,3,3_1000#39,74,230,304,0,LLAMA3/origin/MATH500/3_1000.jsonl,39
Llama,origin,3,3_1000#40,55,229,284,0,LLAMA3/origin/MATH500/3_1000.jsonl,40
Llama,origin,3,3_1000#41,130,154,284,1,LLAMA3/origin/MATH500/3_1000.jsonl,41
Llama,origin,3,3_1000#42,83,320,403,0,LLAMA3/origin/MATH500/3_1000.jsonl,42
Llama,origin,3,3_1000#43,73,301,374,0,LLAMA3/origin/MATH500/3_1000.jsonl,43
Llama,origin,3,3_1000#44,107,1000,1107,0,LLAMA3/origin/MATH500/3_1000.jsonl,44
Llama,origin,3,3_1000#45,97,405,502,0,LLAMA3/origin/MATH500/3_1000.jsonl,45
Llama,origin,3,3_1000#46,69,59,128,1,LLAMA3/origin/MATH500/3_1000.jsonl,46
Llama,origin,3,3_1000#47,77,880,957,0,LLAMA3/origin/MATH500/3_1000.jsonl,47
Llama,origin,3,3_1000#48,84,275,359,1,LLAMA3/origin/MATH500/3_1000.jsonl,48
Llama,origin,3,3_1000#49,52,464,516,1,LLAMA3/origin/MATH500/3_1000.jsonl,49
Llama,origin,3,3_1000#50,58,175,233,1,LLAMA3/origin/MATH500/3_1000.jsonl,50
Llama,origin,3,3_1000#51,129,535,664,0,LLAMA3/origin/MATH500/3_1000.jsonl,51
Llama,origin,3,3_1000#52,55,745,800,1,LLAMA3/origin/MATH500/3_1000.jsonl,52
Llama,origin,3,3_1000#53,63,174,237,1,LLAMA3/origin/MATH500/3_1000.jsonl,53
Llama,origin,3,3_1000#54,60,76,136,1,LLAMA3/origin/MATH500/3_1000.jsonl,54
Llama,origin,3,3_1000#55,45,76,121,0,LLAMA3/origin/MATH500/3_1000.jsonl,55
Llama,origin,3,3_1000#56,83,268,351,0,LLAMA3/origin/MATH500/3_1000.jsonl,56
Llama,origin,3,3_1000#57,57,118,175,0,LLAMA3/origin/MATH500/3_1000.jsonl,57
Llama,origin,3,3_1000#58,87,548,635,0,LLAMA3/origin/MATH500/3_1000.jsonl,58
Llama,origin,3,3_1000#59,47,205,252,0,LLAMA3/origin/MATH500/3_1000.jsonl,59
Llama,origin,3,3_1000#60,79,294,373,0,LLAMA3/origin/MATH500/3_1000.jsonl,60
Llama,origin,3,3_1000#61,83,1000,1083,0,LLAMA3/origin/MATH500/3_1000.jsonl,61
Llama,origin,3,3_1000#62,102,212,314,1,LLAMA3/origin/MATH500/3_1000.jsonl,62
Llama,origin,3,3_1000#63,139,675,814,0,LLAMA3/origin/MATH500/3_1000.jsonl,63
Llama,origin,3,3_1000#64,122,460,582,0,LLAMA3/origin/MATH500/3_1000.jsonl,64
Llama,origin,3,3_1000#65,99,635,734,0,LLAMA3/origin/MATH500/3_1000.jsonl,65
Llama,origin,3,3_1000#66,47,159,206,1,LLAMA3/origin/MATH500/3_1000.jsonl,66
Llama,origin,3,3_1000#67,71,346,417,0,LLAMA3/origin/MATH500/3_1000.jsonl,67
Llama,origin,3,3_1000#68,81,227,308,0,LLAMA3/origin/MATH500/3_1000.jsonl,68
Llama,origin,3,3_1000#69,94,1000,1094,0,LLAMA3/origin/MATH500/3_1000.jsonl,69
Llama,origin,3,3_1000#70,89,903,992,0,LLAMA3/origin/MATH500/3_1000.jsonl,70
Llama,origin,3,3_1000#71,53,303,356,1,LLAMA3/origin/MATH500/3_1000.jsonl,71
