total_saved,gc_saved,trie_atten_saved,time_took
2879,399,2480,"[1751543046.7285106, 1751543046.8462868, 1751543046.8474884, 1751543047.0800564, 1751543047.1715338, 1751543047.2605991, 1751543047.351034, 1751543047.4403808, 1751543047.5329056, 1751543047.6260793, 1751543047.7167485, 1751543047.808053, 1751543047.9000185, 1751543047.9910154, 1751543048.0819807, 1751543048.1732094, 1751543048.2643073, 1751543048.3552918, 1751543048.4452605, 1751543048.5358999, 1751543048.626813, 1751543048.7181487, 1751543048.8080046, 1751543048.9006374, 1751543048.9909017, 1751543049.0807617, 1751543049.173312, 1751543049.2627966, 1751543049.3517826, 1751543049.4447591, 1751543049.5357583, 1751543049.6314511, 1751543049.7251766, 1751543049.8192053, 1751543049.9107711, 1751543050.0001757, 1751543050.0949895, 1751543050.1912587, 1751543050.2910552, 1751543050.3862216, 1751543050.4811573, 1751543050.576749, 1751543050.671764, 1751543050.768144, 1751543050.863067, 1751543050.9604056, 1751543051.0609956, 1751543051.159127, 1751543051.255511, 1751543051.354767, 1751543051.4553785, 1751543051.549209, 1751543051.642243, 1751543051.7398095, 1751543051.8386676, 1751543051.9546337, 1751543052.052866, 1751543052.1488197, 1751543052.2453558, 1751543052.344859, 1751543052.4460797, 1751543052.5476391, 1751543052.6477141, 1751543052.74972, 1751543052.850271, 1751543052.9513247, 1751543053.0533578, 1751543053.1538386, 1751543053.2559967, 1751543053.3564851, 1751543053.4576547, 1751543053.5593998, 1751543053.6598768, 1751543053.7614264, 1751543053.861491, 1751543053.9629722, 1751543054.0616515, 1751543054.1626868, 1751543054.2642317, 1751543054.3655925, 1751543054.4665406, 1751543054.570483, 1751543054.6699169, 1751543054.7714765, 1751543054.8721814, 1751543054.9731724, 1751543055.0745006, 1751543055.1727326, 1751543055.2726858, 1751543055.3764708, 1751543055.4948769, 1751543055.6000135, 1751543055.700235, 1751543055.8017774, 1751543055.9028296, 1751543056.0034583, 1751543056.113225, 1751543056.2178783, 1751543056.3248148, 1751543056.4289818, 1751543056.5352924, 1751543056.6408617, 1751543056.7488084, 1751543056.8543792, 1751543056.9599297, 1751543057.0672364, 1751543057.1737177, 1751543057.282187, 1751543057.3894813, 1751543057.4957483, 1751543057.6048129, 1751543057.7094777, 1751543057.8134246, 1751543057.9182189, 1751543058.0287864, 1751543058.1394684, 1751543058.2521262, 1751543058.3629642, 1751543058.4740627, 1751543058.5844047, 1751543058.6945426, 1751543058.8046756, 1751543058.9085104, 1751543059.0150895, 1751543059.1219676, 1751543059.2320118, 1751543059.344139, 1751543059.453893, 1751543059.566455, 1751543059.6768162, 1751543059.786144, 1751543059.8999755, 1751543060.010234, 1751543060.1213844, 1751543060.2324288, 1751543060.3529332, 1751543060.4660408, 1751543060.5759392, 1751543060.6866307, 1751543060.7976604, 1751543060.9092233, 1751543061.0209012, 1751543061.1269844, 1751543061.2412963, 1751543061.3524709, 1751543061.4651072, 1751543061.575174, 1751543061.6835384, 1751543061.7965462, 1751543061.9061558, 1751543062.0203276, 1751543062.1324835, 1751543062.2446194, 1751543062.3601513, 1751543062.4741383, 1751543062.585558, 1751543062.698566, 1751543062.812097, 1751543062.927585, 1751543063.038813, 1751543063.1497648, 1751543063.2652025, 1751543063.3802273, 1751543063.4992228, 1751543063.614735, 1751543063.7306345, 1751543063.8470464, 1751543063.964832, 1751543064.0864398, 1751543064.207637, 1751543064.3281615, 1751543064.4471312, 1751543064.563525, 1751543064.6842453, 1751543064.8035378, 1751543064.924961, 1751543065.0473013, 1751543065.1676679, 1751543065.2873745, 1751543065.405999, 1751543065.5195756, 1751543065.642382, 1751543065.7631328, 1751543065.8841393, 1751543066.004075, 1751543066.1256227]"
1231,193,1038,"[1751543066.5479975, 1751543066.6398969, 1751543066.641087, 1751543066.8146636, 1751543066.905072, 1751543066.9965863, 1751543067.087203, 1751543067.1783547, 1751543067.2726066, 1751543067.3630202, 1751543067.4522252, 1751543067.5430057, 1751543067.6346083, 1751543067.7246025, 1751543067.8169649, 1751543067.9069872, 1751543067.9972935, 1751543068.0873842, 1751543068.177286, 1751543068.2665598, 1751543068.3600318, 1751543068.452541, 1751543068.541766, 1751543068.6350453, 1751543068.7264497, 1751543068.8178759, 1751543068.911925, 1751543069.0018585, 1751543069.0921776, 1751543069.1892755, 1751543069.2835753, 1751543069.3737776, 1751543069.4623346, 1751543069.5562668, 1751543069.6480143, 1751543069.7414362, 1751543069.838028, 1751543069.9317076, 1751543070.0265465, 1751543070.121204, 1751543070.2131808, 1751543070.3074017, 1751543070.4027505, 1751543070.4995174, 1751543070.5954547, 1751543070.692857]"
1367,85,1282,"[1751543071.0959253, 1751543071.2010913, 1751543071.2022922, 1751543071.3966393, 1751543071.48183, 1751543071.5671635, 1751543071.658891, 1751543071.7505229, 1751543071.8397684, 1751543071.9314852, 1751543072.0212429, 1751543072.1121426, 1751543072.2041006, 1751543072.295873, 1751543072.386552, 1751543072.47818, 1751543072.5747218, 1751543072.6616688, 1751543072.7522469, 1751543072.8424587, 1751543072.9873986, 1751543073.0770607, 1751543073.1657507, 1751543073.2568657, 1751543073.348182, 1751543073.4389627, 1751543073.5292444, 1751543073.621069, 1751543073.710666, 1751543073.8023381, 1751543073.894442, 1751543073.9830096, 1751543074.0765686, 1751543074.1738904, 1751543074.267772, 1751543074.359345, 1751543074.4538512]"
1103,134,969,"[1751543074.8241687, 1751543074.9187965, 1751543074.9199896, 1751543075.0866158, 1751543075.1760678, 1751543075.2690616, 1751543075.358633, 1751543075.4481258, 1751543075.5391877, 1751543075.6315615, 1751543075.7298942, 1751543075.8262022, 1751543075.9154336, 1751543076.0060265, 1751543076.096985, 1751543076.1872008, 1751543076.2783687, 1751543076.3698418, 1751543076.4595213, 1751543076.551426, 1751543076.6436877, 1751543076.7324522, 1751543076.8230057, 1751543076.914457, 1751543077.0050707, 1751543077.0962353, 1751543077.1864905, 1751543077.2770462, 1751543077.3679335, 1751543077.4591641, 1751543077.5510118, 1751543077.6424413, 1751543077.7335072, 1751543077.8280072, 1751543077.920386, 1751543078.0173793]"
999,118,881,"[1751543078.3908134, 1751543078.487671, 1751543078.4896388, 1751543078.629482, 1751543078.7209125, 1751543078.8128538, 1751543078.90319, 1751543078.9936879, 1751543079.0836563, 1751543079.1772537, 1751543079.2685008, 1751543079.361101, 1751543079.4525433, 1751543079.5426562, 1751543079.632548, 1751543079.7244108, 1751543079.815524, 1751543079.9062223, 1751543079.9970431, 1751543080.0877523, 1751543080.1781986, 1751543080.270239, 1751543080.3607264, 1751543080.4515662, 1751543080.5424182, 1751543080.63353, 1751543080.7257848, 1751543080.8193147, 1751543080.913467, 1751543081.0078387, 1751543081.0982163, 1751543081.1931112, 1751543081.2866359, 1751543081.3791955]"
999,80,919,"[1751543081.751519, 1751543081.8411994, 1751543081.8431146, 1751543082.0186698, 1751543082.106538, 1751543082.197168, 1751543082.2888422, 1751543082.3812113, 1751543082.4713957, 1751543082.5626793, 1751543082.6525962, 1751543082.743724, 1751543082.8356986, 1751543082.925395, 1751543083.018764, 1751543083.110531, 1751543083.2004602, 1751543083.2910118, 1751543083.3830647, 1751543083.4732413, 1751543083.5644991, 1751543083.655396, 1751543083.7479496, 1751543083.839312, 1751543083.9289083]"
983,43,940,"[1751543084.299264, 1751543084.3896928, 1751543084.3908372, 1751543084.5649424, 1751543084.6552472, 1751543084.747027, 1751543084.837107, 1751543084.9292002, 1751543085.018055, 1751543085.1056852, 1751543085.1928842, 1751543085.2857635, 1751543085.3749897, 1751543085.465987, 1751543085.5571458, 1751543085.6484845, 1751543085.7393847, 1751543085.8306115, 1751543085.9214725, 1751543086.0128772, 1751543086.106332]"
2039,288,1751,"[1751543086.4911304, 1751543086.6158528, 1751543086.617066, 1751543086.88138, 1751543086.9742408, 1751543087.062413, 1751543087.1522453, 1751543087.2437623, 1751543087.3356166, 1751543087.4262533, 1751543087.5143244, 1751543087.60736, 1751543087.6974702, 1751543087.7885442, 1751543087.8781657, 1751543087.970491, 1751543088.0635984, 1751543088.1540983, 1751543088.2451408, 1751543088.3365452, 1751543088.426761, 1751543088.519287, 1751543088.6088972, 1751543088.6991854, 1751543088.79029, 1751543088.8802783, 1751543088.9707024, 1751543089.0641496, 1751543089.1581624, 1751543089.2486653, 1751543089.3402946, 1751543089.4359279, 1751543089.529343, 1751543089.6209195, 1751543089.7139516, 1751543089.8047175, 1751543089.901627, 1751543089.9957821, 1751543090.0899496, 1751543090.1855829, 1751543090.2880723, 1751543090.388897, 1751543090.4880626, 1751543090.5894344, 1751543090.685957, 1751543090.781366, 1751543090.881206, 1751543090.9794805, 1751543091.0761077, 1751543091.1709087, 1751543091.267331, 1751543091.363419, 1751543091.4591794, 1751543091.5587673, 1751543091.6599293, 1751543091.7634578]"
1175,192,983,"[1751543092.1501262, 1751543092.2543373, 1751543092.2555203, 1751543092.4077916, 1751543092.499905, 1751543092.5925658, 1751543092.6826668, 1751543092.7743046, 1751543092.865592, 1751543092.956336, 1751543093.046126, 1751543093.138019, 1751543093.2298954, 1751543093.3213532, 1751543093.4120474, 1751543093.5012136, 1751543093.5938003, 1751543093.6855931, 1751543093.7760735, 1751543093.8668785, 1751543093.9574697, 1751543094.0495465, 1751543094.1378365, 1751543094.229774, 1751543094.3191683, 1751543094.4120922, 1751543094.502822]"
1975,256,1719,"[1751543094.8707626, 1751543094.9769328, 1751543094.9781184, 1751543095.1837084, 1751543095.2710297, 1751543095.3618145, 1751543095.4531686, 1751543095.5458584, 1751543095.6351902, 1751543095.726857, 1751543095.8162162, 1751543095.9085486, 1751543096.0005505, 1751543096.0916104, 1751543096.1820037, 1751543096.27266, 1751543096.364456, 1751543096.455238, 1751543096.5460396, 1751543096.637458, 1751543096.72697, 1751543096.8197532, 1751543096.9101143, 1751543097.0003612, 1751543097.090237, 1751543097.1790414, 1751543097.2728798, 1751543097.3654275, 1751543097.456053, 1751543097.5473204, 1751543097.6412175, 1751543097.7322507, 1751543097.8227878, 1751543097.9113321, 1751543098.0021524, 1751543098.094054, 1751543098.1848292, 1751543098.27488, 1751543098.3649933, 1751543098.4549832, 1751543098.549497, 1751543098.642818, 1751543098.739133, 1751543098.8336184, 1751543098.9298565, 1751543099.0301287, 1751543099.1256304, 1751543099.2239287, 1751543099.3202596, 1751543099.4156616, 1751543099.5132856, 1751543099.609282, 1751543099.7084897, 1751543099.8079875, 1751543099.9042122, 1751543100.0046027, 1751543100.103334, 1751543100.2038221, 1751543100.306285, 1751543100.406758, 1751543100.5098479, 1751543100.6082633, 1751543100.7094157, 1751543100.8085334, 1751543100.9073353, 1751543101.0060155, 1751543101.1055777, 1751543101.2061539, 1751543101.306953, 1751543101.4060445, 1751543101.5103564, 1751543101.6115193, 1751543101.7129805, 1751543101.8135092, 1751543101.914301, 1751543102.017867, 1751543102.1188006, 1751543102.219595, 1751543102.3208146, 1751543102.424672, 1751543102.528207, 1751543102.6252599, 1751543102.726257, 1751543102.8263407, 1751543102.9282873, 1751543103.0289776, 1751543103.1303825, 1751543103.231919, 1751543103.3319128, 1751543103.4347174, 1751543103.5412242, 1751543103.6452973, 1751543103.7480054, 1751543103.8493204, 1751543103.952107, 1751543104.0528932, 1751543104.1541853, 1751543104.254482, 1751543104.3576155, 1751543104.4646165, 1751543104.5684052, 1751543104.6732998, 1751543104.7784684, 1751543104.8838038, 1751543104.9904773, 1751543105.1019397, 1751543105.2122319, 1751543105.316985, 1751543105.4243655, 1751543105.532517]"
2367,368,1999,"[1751543105.9461358, 1751543106.0661814, 1751543106.0667825, 1751543106.3357863, 1751543106.4279368, 1751543106.5184062, 1751543106.6086364, 1751543106.7005653, 1751543106.7910767, 1751543106.8826394, 1751543106.9715142, 1751543107.0633883, 1751543107.1562757, 1751543107.2474153, 1751543107.339336, 1751543107.4303775, 1751543107.521931, 1751543107.6123846, 1751543107.7032862, 1751543107.7939525, 1751543107.8852694, 1751543107.9777758, 1751543108.0667896, 1751543108.1588738, 1751543108.249162, 1751543108.3406782, 1751543108.4317052, 1751543108.5228145, 1751543108.6131291, 1751543108.7049801, 1751543108.7950244, 1751543108.8875687, 1751543108.9869716, 1751543109.079454, 1751543109.170223, 1751543109.2608829, 1751543109.3540277, 1751543109.446803, 1751543109.5421035, 1751543109.6361785, 1751543109.7265859, 1751543109.8209772, 1751543109.9162977, 1751543110.0107338, 1751543110.109576, 1751543110.2217724, 1751543110.3181028, 1751543110.4138913, 1751543110.5121214, 1751543110.608956, 1751543110.7052145, 1751543110.8023987, 1751543110.8965287, 1751543110.9952223, 1751543111.090633, 1751543111.1908085, 1751543111.2904599, 1751543111.3857248, 1751543111.482881, 1751543111.582512, 1751543111.6782725, 1751543111.7803793, 1751543111.8801506, 1751543111.9809716, 1751543112.0819938, 1751543112.184126, 1751543112.2861443, 1751543112.386237, 1751543112.4886563, 1751543112.5909975, 1751543112.6924286, 1751543112.7942836, 1751543112.8951337, 1751543112.996469, 1751543113.0986402, 1751543113.1976259, 1751543113.299986, 1751543113.39924, 1751543113.5009778, 1751543113.6027792, 1751543113.702218, 1751543113.8062773, 1751543113.9069018, 1751543114.0070186, 1751543114.1267393, 1751543114.2293425, 1751543114.3323655, 1751543114.430731, 1751543114.533206, 1751543114.6355963, 1751543114.7363062, 1751543114.83792, 1751543114.938559, 1751543115.0397177, 1751543115.1452243, 1751543115.2500224, 1751543115.3578002, 1751543115.4624565]"
1583,158,1425,"[1751543115.8753567, 1751543115.9850032, 1751543115.9861553, 1751543116.1857102, 1751543116.273394, 1751543116.363197, 1751543116.4510155, 1751543116.5397198, 1751543116.6225677, 1751543116.717243, 1751543116.8073914, 1751543116.8991404, 1751543116.991817, 1751543117.0831153, 1751543117.1729672, 1751543117.2636817, 1751543117.3539894, 1751543117.4430964, 1751543117.5347605, 1751543117.6275268, 1751543117.7198555, 1751543117.8124592, 1751543117.902801, 1751543117.9944458, 1751543118.0858526, 1751543118.1788938, 1751543118.2682033, 1751543118.3601174, 1751543118.4505029, 1751543118.5421746, 1751543118.6326969, 1751543118.726442, 1751543118.818275, 1751543118.9132063, 1751543119.0063975, 1751543119.0983143, 1751543119.1884289, 1751543119.2773278, 1751543119.371209, 1751543119.462885, 1751543119.5552602, 1751543119.650681, 1751543119.7462742]"
1271,136,1135,"[1751543120.1068165, 1751543120.1978781, 1751543120.1994565, 1751543120.3671985, 1751543120.4516513, 1751543120.5379, 1751543120.6205628, 1751543120.7074754, 1751543120.7985926, 1751543120.8891938, 1751543120.9798107, 1751543121.074242, 1751543121.1610222, 1751543121.2533286, 1751543121.3458025, 1751543121.436148, 1751543121.5281005, 1751543121.6174862, 1751543121.708672, 1751543121.7992404, 1751543121.889314, 1751543121.981235, 1751543122.0699728, 1751543122.1635485, 1751543122.2555144, 1751543122.346727, 1751543122.4379442, 1751543122.529663, 1751543122.6177707, 1751543122.7075672, 1751543122.8005667, 1751543122.894954, 1751543122.9851983, 1751543123.0768168, 1751543123.1671453, 1751543123.2566047]"
639,40,599,"[1751543123.6504776, 1751543123.7390652, 1751543123.7402647, 1751543123.8842208, 1751543123.9745913]"
975,152,823,"[1751543124.3564498, 1751543124.4526293, 1751543124.455364, 1751543124.5938559, 1751543124.682543, 1751543124.7688563, 1751543124.8563814, 1751543124.9491708, 1751543125.0399792, 1751543125.1320248, 1751543125.2219088, 1751543125.3131542, 1751543125.4035847, 1751543125.4954314, 1751543125.5892131, 1751543125.6756763, 1751543125.7668586, 1751543125.856785, 1751543125.9496133, 1751543126.0416336, 1751543126.132452, 1751543126.2240272, 1751543126.3147492, 1751543126.4063783, 1751543126.4972188, 1751543126.5887783, 1751543126.6792026, 1751543126.770619, 1751543126.861547, 1751543126.953534, 1751543127.0447598, 1751543127.1371973, 1751543127.2330358, 1751543127.327656, 1751543127.420979, 1751543127.5184534, 1751543127.616926, 1751543127.7118516]"
1783,355,1428,"[1751543128.0944505, 1751543128.203621, 1751543128.2048278, 1751543128.3917384, 1751543128.4819736, 1751543128.5706625, 1751543128.6607535, 1751543128.7496152, 1751543128.8404636, 1751543128.9340436, 1751543129.0236588, 1751543129.114439, 1751543129.2059686, 1751543129.2964783, 1751543129.3883333, 1751543129.4806073, 1751543129.5712457, 1751543129.6616642, 1751543129.7525687, 1751543129.8437612, 1751543129.9347322, 1751543130.0262032, 1751543130.1165335, 1751543130.2067678, 1751543130.3012764, 1751543130.3930748, 1751543130.4859412, 1751543130.5773916, 1751543130.6701257, 1751543130.7593532, 1751543130.8501163, 1751543130.9455738, 1751543131.035668, 1751543131.127306, 1751543131.218021, 1751543131.3093278, 1751543131.4018023, 1751543131.4924405, 1751543131.5843003, 1751543131.6783261, 1751543131.7681768, 1751543131.859886, 1751543131.9539742, 1751543132.0490339, 1751543132.1471474, 1751543132.2508864, 1751543132.3500066, 1751543132.4486601, 1751543132.543863, 1751543132.642923, 1751543132.7417681, 1751543132.839796, 1751543132.936293, 1751543133.0379603, 1751543133.1396344, 1751543133.240853, 1751543133.3421338, 1751543133.4429948, 1751543133.544127, 1751543133.6465883, 1751543133.7456365, 1751543133.848789, 1751543133.9496124, 1751543134.0502799, 1751543134.1510196]"
1199,188,1011,"[1751543134.5277948, 1751543134.621974, 1751543134.6231737, 1751543134.789911, 1751543134.879251, 1751543134.9707334, 1751543135.0569446, 1751543135.144238, 1751543135.2327158, 1751543135.3261125, 1751543135.4188623, 1751543135.5074027, 1751543135.5983384, 1751543135.7016711, 1751543135.792934, 1751543135.882515, 1751543135.9722059, 1751543136.0635712, 1751543136.152385, 1751543136.243882, 1751543136.33643, 1751543136.429357, 1751543136.5187528, 1751543136.6108344, 1751543136.701804, 1751543136.7935035, 1751543136.8828578, 1751543136.9744334, 1751543137.0658746, 1751543137.1574874, 1751543137.247572, 1751543137.3401487, 1751543137.4335065, 1751543137.523233]"
