total_saved,gc_saved,trie_atten_saved,time_took
2879,1488,1391,"[1751553393.5929782, 1751553393.6968381, 1751553393.6977522, 1751553393.9448502, 1751553394.032111, 1751553394.1217988, 1751553394.2118552, 1751553394.3036652, 1751553394.3938746, 1751553394.4861872, 1751553394.5759223, 1751553394.666604, 1751553394.7585208, 1751553394.8489025, 1751553394.939832, 1751553395.029474, 1751553395.118586, 1751553395.2109928, 1751553395.303188, 1751553395.3915553, 1751553395.4836035, 1751553395.576361, 1751553395.669813, 1751553395.7642853, 1751553395.8565028, 1751553395.9500513, 1751553396.0399146, 1751553396.1279721, 1751553396.216283, 1751553396.306394, 1751553396.396965, 1751553396.4954476, 1751553396.607505, 1751553396.6993542, 1751553396.7899616, 1751553396.8821917, 1751553396.973791, 1751553397.066162, 1751553397.161393, 1751553397.2554164, 1751553397.3533263, 1751553397.4471927, 1751553397.543533, 1751553397.637624, 1751553397.7309012, 1751553397.824252, 1751553397.9151518, 1751553398.0061204, 1751553398.1009772, 1751553398.1961617, 1751553398.290293, 1751553398.3847113, 1751553398.482614, 1751553398.5781715, 1751553398.6768672, 1751553398.7746222, 1751553398.870507, 1751553398.970555, 1751553399.0715535, 1751553399.169556, 1751553399.2658174, 1751553399.365554, 1751553399.467019, 1751553399.5682235, 1751553399.6711473, 1751553399.7702456, 1751553399.8706522, 1751553399.9716115, 1751553400.0719726, 1751553400.1753306, 1751553400.2760105, 1751553400.377178, 1751553400.4774508, 1751553400.5788653, 1751553400.6805806, 1751553400.7755136, 1751553400.872305, 1751553400.9726276, 1751553401.0746887, 1751553401.1768057, 1751553401.2756822, 1751553401.3761754, 1751553401.4764433, 1751553401.579188, 1751553401.6817222, 1751553401.7812052, 1751553401.8821368, 1751553401.9816253, 1751553402.084206, 1751553402.184798, 1751553402.2854376, 1751553402.3870742, 1751553402.4879906, 1751553402.5905528, 1751553402.6912901, 1751553402.7943442, 1751553402.8998828, 1751553403.010832, 1751553403.113444, 1751553403.2142692, 1751553403.3150184, 1751553403.417305, 1751553403.5212033, 1751553403.6273696, 1751553403.7305586, 1751553403.834437, 1751553403.939714, 1751553404.0434158, 1751553404.1515334, 1751553404.2574298, 1751553404.3631954, 1751553404.4756095, 1751553404.5854547, 1751553404.6969616, 1751553404.8077645, 1751553404.914164, 1751553405.017721, 1751553405.1246226, 1751553405.2332423, 1751553405.3434536, 1751553405.4525852, 1751553405.5608878, 1751553405.6667817, 1751553405.7769654, 1751553405.8885128, 1751553406.0027258, 1751553406.1116593, 1751553406.2234716, 1751553406.3337326, 1751553406.4441595, 1751553406.556083, 1751553406.666487, 1751553406.777912, 1751553406.8888896, 1751553406.9995537, 1751553407.1121223, 1751553407.2234828, 1751553407.3366125, 1751553407.4470866, 1751553407.558083, 1751553407.6740623, 1751553407.7810733, 1751553407.8930676, 1751553408.0034049, 1751553408.1128786, 1751553408.2235034, 1751553408.3341208, 1751553408.4467237, 1751553408.5607986, 1751553408.6706126, 1751553408.7815404, 1751553408.8925154, 1751553409.0038366, 1751553409.1131, 1751553409.2302299, 1751553409.343937, 1751553409.4574943, 1751553409.5689108, 1751553409.6791875, 1751553409.7900314, 1751553409.901467, 1751553410.0149634, 1751553410.130668, 1751553410.2446144, 1751553410.3673851, 1751553410.4838076, 1751553410.5987785, 1751553410.7163665, 1751553410.8388572, 1751553410.9551163, 1751553411.0712364, 1751553411.1814983, 1751553411.2939699, 1751553411.4066405, 1751553411.5216148, 1751553411.6346867, 1751553411.7530212, 1751553411.8695664, 1751553411.9898465, 1751553412.106252, 1751553412.221195, 1751553412.3385513, 1751553412.4580975, 1751553412.573823, 1751553412.6900575, 1751553412.807437]"
1231,368,863,"[1751553413.2507381, 1751553413.343697, 1751553413.3448899, 1751553413.5237935, 1751553413.6106863, 1751553413.7024677, 1751553413.7944458, 1751553413.8847327, 1751553413.9757273, 1751553414.0675418, 1751553414.1582193, 1751553414.2488542, 1751553414.3405318, 1751553414.430738, 1751553414.5218277, 1751553414.6135447, 1751553414.7048306, 1751553414.7952497, 1751553414.8865201, 1751553414.9766717, 1751553415.067327, 1751553415.1597676, 1751553415.2483807, 1751553415.3380265, 1751553415.4311712, 1751553415.523587, 1751553415.6142118, 1751553415.705022, 1751553415.7952514, 1751553415.8864906, 1751553415.9781127, 1751553416.0690937, 1751553416.1582115, 1751553416.249265, 1751553416.3417375, 1751553416.4339721, 1751553416.5251515, 1751553416.615026, 1751553416.7056859, 1751553416.7972052, 1751553416.890512, 1751553416.9851475, 1751553417.0779064, 1751553417.1706986, 1751553417.2671812, 1751553417.363086]"
1367,296,1071,"[1751553417.745263, 1751553417.855815, 1751553417.857006, 1751553418.0631583, 1751553418.1487825, 1751553418.2374856, 1751553418.3301506, 1751553418.4224865, 1751553418.5121334, 1751553418.6033223, 1751553418.6937127, 1751553418.7845964, 1751553418.8761075, 1751553418.9670968, 1751553419.058419, 1751553419.1496205, 1751553419.2413902, 1751553419.3315551, 1751553419.4211044, 1751553419.5120437, 1751553419.6025872, 1751553419.694803, 1751553419.7853951, 1751553419.8772135, 1751553419.9675364, 1751553420.0591385, 1751553420.1468616, 1751553420.2389169, 1751553420.3306859, 1751553420.4217331, 1751553420.5130885, 1751553420.605192, 1751553420.694386, 1751553420.7844157, 1751553420.8749635, 1751553420.9675665, 1751553421.0576658]"
1103,288,815,"[1751553421.454173, 1751553421.546953, 1751553421.548127, 1751553421.7229276, 1751553421.8122256, 1751553421.9030979, 1751553421.9902442, 1751553422.0732002, 1751553422.165225, 1751553422.256966, 1751553422.348992, 1751553422.4400494, 1751553422.531081, 1751553422.6216855, 1751553422.7115285, 1751553422.801453, 1751553422.892624, 1751553422.9853425, 1751553423.0769315, 1751553423.1679013, 1751553423.2591, 1751553423.3505182, 1751553423.4406393, 1751553423.5328832, 1751553423.6239946, 1751553423.7150903, 1751553423.8052497, 1751553423.8965213, 1751553423.9871268, 1751553424.0783672, 1751553424.1695197, 1751553424.2603028, 1751553424.3504665, 1751553424.4427814, 1751553424.5336359, 1751553424.6246204]"
999,272,727,"[1751553424.9926157, 1751553425.0851328, 1751553425.0870833, 1751553425.2408419, 1751553425.329165, 1751553425.4196873, 1751553425.5069287, 1751553425.6005363, 1751553425.701705, 1751553425.7967348, 1751553425.885159, 1751553425.9771168, 1751553426.066355, 1751553426.1559374, 1751553426.2469597, 1751553426.3398528, 1751553426.4320023, 1751553426.5225525, 1751553426.6134307, 1751553426.705029, 1751553426.794749, 1751553426.8863018, 1751553426.9767742, 1751553427.0678, 1751553427.1578739, 1751553427.2504816, 1751553427.3388143, 1751553427.4292746, 1751553427.5217583, 1751553427.6125753, 1751553427.7190402, 1751553427.812433, 1751553427.9056947, 1751553427.9998462]"
999,200,799,"[1751553428.366841, 1751553428.457497, 1751553428.4594486, 1751553428.648071, 1751553428.735307, 1751553428.8250062, 1751553428.9156868, 1751553429.007306, 1751553429.0972693, 1751553429.189479, 1751553429.282288, 1751553429.3715975, 1751553429.460039, 1751553429.551347, 1751553429.6422052, 1751553429.7342522, 1751553429.8241012, 1751553429.915, 1751553430.004704, 1751553430.095416, 1751553430.1873775, 1751553430.2794416, 1751553430.3697083, 1751553430.4608698, 1751553430.5515664]"
983,168,815,"[1751553430.914064, 1751553431.0031428, 1751553431.004064, 1751553431.1777327, 1751553431.266747, 1751553431.358995, 1751553431.4492247, 1751553431.5398922, 1751553431.6317117, 1751553431.722254, 1751553431.8139274, 1751553431.9038525, 1751553431.994132, 1751553432.084975, 1751553432.1759925, 1751553432.2665706, 1751553432.3581178, 1751553432.4496214, 1751553432.540149, 1751553432.6307075, 1751553432.7218382]"
2039,448,1591,"[1751553433.0905693, 1751553433.2152236, 1751553433.2164068, 1751553433.470704, 1751553433.5569367, 1751553433.6453416, 1751553433.733344, 1751553433.821042, 1751553433.9106684, 1751553434.001958, 1751553434.0907915, 1751553434.1827, 1751553434.2743874, 1751553434.3653858, 1751553434.4568915, 1751553434.5475008, 1751553434.6391551, 1751553434.7303166, 1751553434.820483, 1751553434.9122765, 1751553435.002584, 1751553435.0942836, 1751553435.1820123, 1751553435.2738304, 1751553435.3661075, 1751553435.458359, 1751553435.5478847, 1751553435.638698, 1751553435.7290862, 1751553435.8203888, 1751553435.9118469, 1751553436.0023549, 1751553436.0931425, 1751553436.184962, 1751553436.2762613, 1751553436.3687003, 1751553436.4598212, 1751553436.551002, 1751553436.6478798, 1751553436.7424464, 1751553436.8345833, 1751553436.9273257, 1751553437.018948, 1751553437.1149075, 1751553437.2100608, 1751553437.3069925, 1751553437.4045143, 1751553437.4984787, 1751553437.591269, 1751553437.6853323, 1751553437.7803152, 1751553437.8730743, 1751553437.9707968, 1751553438.068205, 1751553438.1638231, 1751553438.2643979]"
1175,216,959,"[1751553438.6624217, 1751553438.762779, 1751553438.76395, 1751553438.910606, 1751553439.00095, 1751553439.0931008, 1751553439.1840396, 1751553439.275042, 1751553439.367473, 1751553439.458698, 1751553439.5483196, 1751553439.6386228, 1751553439.729508, 1751553439.820701, 1751553439.9122186, 1751553440.0033634, 1751553440.0948339, 1751553440.1891096, 1751553440.28347, 1751553440.380284, 1751553440.4685814, 1751553440.558953, 1751553440.6500537, 1751553440.7405064, 1751553440.8310714, 1751553440.9253042, 1751553441.0129738]"
1975,880,1095,"[1751553441.3708642, 1751553441.488317, 1751553441.4897418, 1751553441.6841662, 1751553441.7708254, 1751553441.8613696, 1751553441.9527097, 1751553442.0446048, 1751553442.1335995, 1751553442.2250173, 1751553442.315042, 1751553442.4059856, 1751553442.496692, 1751553442.5878465, 1751553442.6780083, 1751553442.7673333, 1751553442.8564034, 1751553442.942219, 1751553443.0327036, 1751553443.1243386, 1751553443.2153602, 1751553443.3068478, 1751553443.3970668, 1751553443.4879975, 1751553443.5781095, 1751553443.6699615, 1751553443.760691, 1751553443.8522577, 1751553443.942408, 1751553444.034316, 1751553444.124957, 1751553444.2155797, 1751553444.3088498, 1751553444.4006772, 1751553444.4947531, 1751553444.5902216, 1751553444.6821747, 1751553444.7768495, 1751553444.8715427, 1751553444.965521, 1751553445.0584807, 1751553445.1536946, 1751553445.2461424, 1751553445.3376245, 1751553445.4334717, 1751553445.526934, 1751553445.6220272, 1751553445.7140326, 1751553445.8081048, 1751553445.90428, 1751553446.000739, 1751553446.0998366, 1751553446.1959364, 1751553446.2926908, 1751553446.3925006, 1751553446.4941425, 1751553446.5901349, 1751553446.6868677, 1751553446.786519, 1751553446.8880565, 1751553446.9858153, 1751553447.0798492, 1751553447.175291, 1751553447.2709763, 1751553447.3714592, 1751553447.4730327, 1751553447.5750167, 1751553447.6758635, 1751553447.776356, 1751553447.8797872, 1751553447.9790258, 1751553448.0794523, 1751553448.1799567, 1751553448.2826245, 1751553448.3990164, 1751553448.4968407, 1751553448.5974402, 1751553448.6986132, 1751553448.7994747, 1751553448.9026337, 1751553449.0015376, 1751553449.1022453, 1751553449.2035809, 1751553449.307393, 1751553449.4069228, 1751553449.5067012, 1751553449.607213, 1751553449.708418, 1751553449.8092957, 1751553449.9112911, 1751553450.012384, 1751553450.11318, 1751553450.2143402, 1751553450.317416, 1751553450.4190528, 1751553450.524397, 1751553450.628183, 1751553450.73064, 1751553450.834747, 1751553450.9394407, 1751553451.0447862, 1751553451.1518896, 1751553451.2563367, 1751553451.3604, 1751553451.464417, 1751553451.5701225, 1751553451.6766655, 1751553451.7828486, 1751553451.8900938, 1751553451.9954395]"
2367,784,1583,"[1751553452.3947213, 1751553452.5150876, 1751553452.5162728, 1751553452.7822447, 1751553452.8700697, 1751553452.9597287, 1751553453.0500386, 1751553453.141662, 1751553453.2326155, 1751553453.324008, 1751553453.4152882, 1751553453.5049014, 1751553453.5969114, 1751553453.6882536, 1751553453.7770894, 1751553453.868341, 1751553453.9599833, 1751553454.0490887, 1751553454.1392314, 1751553454.2280586, 1751553454.3195224, 1751553454.4137006, 1751553454.505128, 1751553454.5970984, 1751553454.6872594, 1751553454.7783487, 1751553454.8671334, 1751553454.9563594, 1751553455.0502124, 1751553455.1420193, 1751553455.233788, 1751553455.3240259, 1751553455.4260693, 1751553455.5164156, 1751553455.6071389, 1751553455.7083912, 1751553455.8086188, 1751553455.9075696, 1751553456.0010972, 1751553456.0930858, 1751553456.18646, 1751553456.282054, 1751553456.3767095, 1751553456.472785, 1751553456.5683775, 1751553456.6664321, 1751553456.7655983, 1751553456.8629699, 1751553456.958415, 1751553457.0550382, 1751553457.1499348, 1751553457.2441483, 1751553457.3428857, 1751553457.4425445, 1751553457.5438726, 1751553457.6412065, 1751553457.737397, 1751553457.8375652, 1751553457.9341373, 1751553458.0314083, 1751553458.130425, 1751553458.2303693, 1751553458.326368, 1751553458.4254074, 1751553458.5259967, 1751553458.6252956, 1751553458.7276247, 1751553458.82772, 1751553458.926975, 1751553459.0235798, 1751553459.1215825, 1751553459.2219625, 1751553459.3225522, 1751553459.4240544, 1751553459.5260024, 1751553459.6256883, 1751553459.7265785, 1751553459.8288214, 1751553459.928863, 1751553460.0314474, 1751553460.1305099, 1751553460.2322445, 1751553460.3342242, 1751553460.4347038, 1751553460.537657, 1751553460.6378582, 1751553460.7383823, 1751553460.8386593, 1751553460.9398062, 1751553461.0421493, 1751553461.1432257, 1751553461.2443445, 1751553461.3458798, 1751553461.4480066, 1751553461.5548093, 1751553461.6589592, 1751553461.7598407, 1751553461.8608158]"
1583,344,1239,"[1751553462.2704084, 1751553462.3778098, 1751553462.3789992, 1751553462.5779228, 1751553462.6672614, 1751553462.7579696, 1751553462.8468642, 1751553462.9380653, 1751553463.028978, 1751553463.118998, 1751553463.210364, 1751553463.3018734, 1751553463.39317, 1751553463.4839554, 1751553463.5740058, 1751553463.665244, 1751553463.7560744, 1751553463.8481839, 1751553463.9379935, 1751553464.0295439, 1751553464.1207154, 1751553464.2247071, 1751553464.3134344, 1751553464.40468, 1751553464.495158, 1751553464.5869105, 1751553464.6770513, 1751553464.767057, 1751553464.8581657, 1751553464.9499476, 1751553465.04017, 1751553465.1313837, 1751553465.220051, 1751553465.3100653, 1751553465.4031143, 1751553465.4956417, 1751553465.5851274, 1751553465.676144, 1751553465.7671304, 1751553465.8587663, 1751553465.9490125, 1751553466.0372534, 1751553466.1297936]"
1271,288,983,"[1751553466.5049365, 1751553466.6026223, 1751553466.6038203, 1751553466.7567136, 1751553466.84653, 1751553466.9379208, 1751553467.0278962, 1751553467.1223593, 1751553467.2139802, 1751553467.3032937, 1751553467.3933544, 1751553467.4845223, 1751553467.5753176, 1751553467.6663616, 1751553467.7555783, 1751553467.8468108, 1751553467.9378939, 1751553468.025861, 1751553468.119136, 1751553468.2119038, 1751553468.3028455, 1751553468.3942425, 1751553468.4846075, 1751553468.5748425, 1751553468.665434, 1751553468.758243, 1751553468.8478086, 1751553468.9390998, 1751553469.0292528, 1751553469.1200228, 1751553469.2124171, 1751553469.3112457, 1751553469.4024255, 1751553469.495753, 1751553469.5854263, 1751553469.6780062]"
639,40,599,"[1751553470.0804305, 1751553470.167448, 1751553470.168347, 1751553470.3221014, 1751553470.4120448]"
975,304,671,"[1751553470.7381737, 1751553470.8269675, 1751553470.8295252, 1751553470.9688451, 1751553471.058328, 1751553471.1482291, 1751553471.2392843, 1751553471.3311923, 1751553471.4197757, 1751553471.5076132, 1751553471.5896368, 1751553471.6811438, 1751553471.775737, 1751553471.8662026, 1751553471.9566996, 1751553472.0473418, 1751553472.1384218, 1751553472.2280347, 1751553472.317115, 1751553472.4099565, 1751553472.5014644, 1751553472.5927305, 1751553472.6824274, 1751553472.7741528, 1751553472.8645115, 1751553472.9567554, 1751553473.0455368, 1751553473.1372564, 1751553473.2275276, 1751553473.3185968, 1751553473.4112895, 1751553473.500303, 1751553473.5916684, 1751553473.6809247, 1751553473.7708485, 1751553473.865338, 1751553473.9557483, 1751553474.046128]"
1783,520,1263,"[1751553474.420177, 1751553474.5274158, 1751553474.5285344, 1751553474.7216082, 1751553474.8129911, 1751553474.9045022, 1751553474.9937565, 1751553475.0847335, 1751553475.1753967, 1751553475.2668638, 1751553475.3579419, 1751553475.4485254, 1751553475.5400326, 1751553475.6307602, 1751553475.7207563, 1751553475.8120275, 1751553475.9035954, 1751553475.9944901, 1751553476.084598, 1751553476.1765988, 1751553476.2661364, 1751553476.3581817, 1751553476.4478755, 1751553476.5398684, 1751553476.6293156, 1751553476.7221053, 1751553476.812018, 1751553476.9033487, 1751553476.9943135, 1751553477.0857792, 1751553477.175546, 1751553477.2658086, 1751553477.356932, 1751553477.4484348, 1751553477.5391586, 1751553477.631492, 1751553477.7240422, 1751553477.8195384, 1751553477.9130182, 1751553478.0077019, 1751553478.103915, 1751553478.2000313, 1751553478.2952292, 1751553478.3881948, 1751553478.482285, 1751553478.5790336, 1751553478.6783025, 1751553478.7740035, 1751553478.8710034, 1751553478.967414, 1751553479.0617728, 1751553479.1560824, 1751553479.253954, 1751553479.3559372, 1751553479.4489486, 1751553479.5504174, 1751553479.643554, 1751553479.7405264, 1751553479.8404408, 1751553479.9383504, 1751553480.034321, 1751553480.1338162, 1751553480.235122, 1751553480.336684, 1751553480.438521]"
1199,272,927,"[1751553480.854631, 1751553480.949766, 1751553480.9509482, 1751553481.1173291, 1751553481.2074964, 1751553481.2986104, 1751553481.3892167, 1751553481.479746, 1751553481.5722198, 1751553481.664157, 1751553481.754967, 1751553481.8443022, 1751553481.936616, 1751553482.026939, 1751553482.1182685, 1751553482.2102113, 1751553482.3014982, 1751553482.3914409, 1751553482.4821322, 1751553482.5737975, 1751553482.6644306, 1751553482.7560728, 1751553482.8467937, 1751553482.9375982, 1751553483.0279183, 1751553483.119298, 1751553483.2094922, 1751553483.3009858, 1751553483.390661, 1751553483.4813843, 1751553483.5717368, 1751553483.6644602, 1751553483.7552574, 1751553483.8503177]"
